gene_id	NCBI_ID	genename	genesynonym
YDL136W	851419	RPL35B	SOS1
YDL136W	851419	RPL35B	SOS2
YDL136W	851419	RPL35B	L35B
YBR211C	852512	AME1	ARP100
YJL077W-A	13393612	NaN	NaN
YOR076C	854243	SKI7	YOR29-27
YDR104C	851681	SPO71	NaN
YBR279W	852582	PAF1	NaN
YLR067C	850756	PET309	NaN
YHR219W	856629	NaN	NaN
YGR249W	853164	MGA1	NaN
YLR456W	851178	NaN	NaN
YGR283C	853200	NaN	NaN
YDL027C	851535	MRX9	NaN
YKR023W	853893	NaN	NaN
YGR028W	852915	MSP1	YTA4
YCL001W-A	850355	NaN	NaN
YDR052C	851623	DBF4	DNA52
YDR052C	851623	DBF4	LSD7
YFR035C	850595	NaN	NaN
YJL102W	853342	MEF2	NaN
YNL336W	855380	COS1	NaN
YGL006W	852878	PMC1	NaN
YDR217C	851803	RAD9	NaN
YMR194C-A	NaN	NaN	NaN
YKL033W	853834	TTI1	FMP47
YOR223W	854398	DSC3	NaN
YOR032W-A	1466481	NaN	NaN
YBR260C	852563	RGD1	NaN
YLR359W	851073	ADE13	BRA1
YLR359W	851073	ADE13	BRA8
YHR062C	856459	RPP1	NaN
YDR022C	851585	NaN	ATG31
YDR459C	852070	PFA5	NaN
YNL184C	855537	NaN	NaN
YDR293C	851887	SSD1	CLA1
YDR293C	851887	SSD1	MCS1
YDR293C	851887	SSD1	RLT1
YDR293C	851887	SSD1	SRK1
YPL195W	855906	APL5	YKS4
YMR173W	855210	DDR48	FSP
YDR374W-A	3799971	WIP1	NaN
YAL007C	851226	ERP2	NaN
YGL235W	852615	NaN	NaN
YGL134W	852743	PCL10	NaN
YER001W	856718	MNN1	NaN
YDR366C	851972	NaN	NaN
YHR023W	856418	MYO1	NaN
YDR430C	852041	CYM1	MOP112
YGR002C	852885	SWC4	EAF2
YGR002C	852885	SWC4	GOD1
YNL220W	855501	ADE12	BRA9
YBR109W-A	NaN	NaN	NaN
YHR110W	856510	ERP5	NaN
YKL136W	NaN	NaN	NaN
YLL067C	NaN	NaN	NaN
YPL078C	856027	ATP4	LPF7
YBR073W	852365	RDH54	TID1
YPL119C	855984	DBP1	LPH8
YOR135C	NaN	IRC14	NaN
YPL212C	855889	PUS1	NaN
YGL179C	852696	TOS3	NaN
YNL159C	855563	ASI2	NaN
YFR048W	850609	RMD8	NaN
YDR016C	851579	DAD1	NaN
YKL215C	853665	OXP1	NaN
YML035C	854973	AMD1	AMD3
YDL059C	851500	RAD59	NaN
YOR257W	854431	CDC31	DSK1
YNL144C	855578	NaN	NaN
YIL172C	853235	IMA3	FSP2
YIL172C	854635	IMA3	FSP2
YOR301W	854477	RAX1	NaN
YHR157W	856562	REC104	NaN
YPR152C	856275	URN1	NaN
YDR442W	NaN	NaN	NaN
YPL008W	856099	CHL1	CTF1
YPL008W	856099	CHL1	LPA9
YPL008W	856099	CHL1	MCM12
YMR086C-A	NaN	NaN	NaN
YGL032C	852851	AGA2	a-agglutinin adhesion subunit
YEL077C	856630	NaN	NaN
YGR174W-A	1466461	NaN	NaN
YOR148C	854319	SPP2	NaN
YHL048W	856337	COS8	NaN
YDR114C	851693	NaN	NaN
YDR194W-A	1466435	NaN	NaN
YML062C	854940	MFT1	MFT52
YPR085C	856200	ASA1	NaN
YBL095W	852181	MRX3	NaN
YAR028W	851280	NaN	NaN
YGR054W	852945	NaN	NaN
YOR096W	854263	RPS7A	RPS30
YOR096W	854263	RPS7A	rp30
YOR096W	854263	RPS7A	S7A
YMR022W	855036	UBC7	DER2
YMR022W	855036	UBC7	QRI8
YCR027C	850392	RHB1	RSG1
YDL183C	851345	NaN	NaN
YJL225W-A	NaN	NaN	NaN
YNL278W	855443	CAF120	NaN
YLR395C	851111	COX8	NaN
YDR446W	852057	ECM11	NaN
YKL023W	853845	NaN	NaN
YPL106C	855998	SSE1	LPG3
YPL106C	855998	SSE1	MSI3
