gene_id	type
YBR050C	non_essential
YBR051W	non_essential
YBR052C	non_essential
YBR053C	non_essential
YBR054W	non_essential
YBR055C	essential
YBR056C-B	non_essential
YBR056W	non_essential
YBR056W-A	non_essential
YBR057C	non_essential
YBR058C	non_essential
YBR058C-A	non_essential
YBR059C	essential
YBR060C	essential
YBR061C	non_essential
YBR062C	non_essential
YBR063C	non_essential
YBR064W	non_essential
YBR065C	non_essential
YBR066C	non_essential
YBR067C	non_essential
YBR068C	non_essential
YBR069C	non_essential
YBR070C	essential
YBR071W	non_essential
YBR072C-A	non_essential
YBR072W	non_essential
YBR073W	non_essential
YBR074W	non_essential
YBR076C-A	non_essential
YBR076W	non_essential
YBR077C	non_essential
YBR078W	non_essential
YBR079C	essential
YBR080C	essential
YBR081C	non_essential
YBR082C	non_essential
YBR083W	non_essential
YBR084C-A	non_essential
YBR084W	non_essential
YBR085C-A	non_essential
YBR085W	non_essential
YBR086C	non_essential
YBR087W	essential
YBR088C	essential
YBR089C-A	essential
YBR089W	essential
YBR090C	non_essential
YBR091C	essential
YBR092C	non_essential
YBR093C	non_essential
YBR094W	non_essential
YBR095C	non_essential
YBR096W	non_essential
YBR097W	non_essential
YBR098W	non_essential
YBR099C	non_essential
YBR101C	non_essential
YBR102C	essential
YBR103C-A	non_essential
YBR103W	non_essential
YBR104W	non_essential
YBR105C	non_essential
YBR106W	essential
YBR107C	non_essential
YBR108W	non_essential
YBR109C	essential
YBR109W-A	non_essential
YBR110W	essential
YBR111C	non_essential
YBR111W-A	non_essential
YBR112C	essential
YBR113W	non_essential
YBR114W	non_essential
YBR115C	non_essential
YBR116C	non_essential
YBR117C	non_essential
YBR118W	non_essential
YBR119W	non_essential
YBR120C	non_essential
YBR121C	essential
YBR121C-A	non_essential
YBR122C	non_essential
YBR123C	essential
YBR124W	essential
YBR125C	non_essential
YBR126C	non_essential
YBR126W-A	non_essential
YBR126W-B	non_essential
YBR127C	non_essential
YBR128C	essential
YBR129C	non_essential
YBR130C	non_essential
YBR131C-A	non_essential
YBR131W	non_essential
YBR132C	non_essential
YBR133C	non_essential
YBR134W	non_essential
YBR135W	essential
YBR136W	essential
YBR137W	non_essential
YBR138C	non_essential
YBR139W	non_essential
YBR140C	essential
YBR141C	non_essential
YBR141W-A	non_essential
YBR142W	essential
YBR143C	essential
YBR144C	non_essential
YBR145W	non_essential
YBR146W	non_essential
YBR147W	non_essential
YBR148W	non_essential
YBR149W	non_essential
YBR150C	non_essential
YBR151W	non_essential
YBR152W	essential
YBR153W	essential
YBR154C	essential
YBR155W	essential
YBR156C	non_essential
YBR157C	non_essential
YBR158W	essential
YBR159W	non_essential
YBR160W	essential
YBR161W	non_essential
YBR162C	non_essential
YBR162W-A	non_essential
YBR163W	non_essential
YBR164C	non_essential
YBR165W	non_essential
YBR166C	non_essential
YBR167C	essential
YBR168W	essential
YBR169C	non_essential
YBR170C	essential
YBR171W	non_essential
YBR172C	non_essential
YBR173C	non_essential
YBR174C	non_essential
YBR175W	non_essential
YBR176W	non_essential
YBR177C	non_essential
YBR178W	non_essential
YBR179C	non_essential
YBR180W	non_essential
YBR181C	non_essential
YBR182C	non_essential
YBR182C-A	non_essential
YBR183W	non_essential
YBR184W	non_essential
YBR185C	non_essential
YBR186W	non_essential
YBR187W	non_essential
YBR188C	non_essential
YBR189W	non_essential
YBR190W	essential
YBR191W	non_essential
YBR191W-A	non_essential
YBR192W	essential
YBR193C	essential
YBR194W	non_essential
YBR195C	non_essential
YBR196C	essential
YBR196C-A	non_essential
YBR196C-B	non_essential
YBR197C	non_essential
YBR198C	essential
YBR199W	non_essential
YBR200W	essential
YBR200W-A	non_essential
YBR201C-A	non_essential
YBR201W	non_essential
YBR202W	essential
YBR203W	non_essential
YBR204C	non_essential
YBR205W	non_essential
YBR206W	non_essential
YBR207W	non_essential
YBR208C	non_essential
YBR209W	non_essential
YBR210W	non_essential
YBR211C	essential
YBR212W	non_essential
YBR213W	non_essential
YBR214W	non_essential
YBR215W	non_essential
YBR216C	non_essential
YBR217W	essential
YBR218C	non_essential
YBR219C	non_essential
YBR220C	non_essential
YBR221C	non_essential
YBR221W-A	non_essential
YBR222C	non_essential
YBR223C	non_essential
YBR223W-A	non_essential
YBR224W	non_essential
YBR225W	non_essential
YBR226C	non_essential
YBR227C	non_essential
YBR228W	non_essential
YBR229C	non_essential
YBR230C	non_essential
YBR230W-A	non_essential
YBR231C	non_essential
YBR232C	non_essential
YBR233W	non_essential
YBR233W-A	essential
YBR234C	essential
YBR235W	non_essential
YBR236C	essential
YBR237W	essential
YBR238C	non_essential
YBR239C	non_essential
YBR240C	non_essential
YBR241C	non_essential
YBR242W	non_essential
YBR243C	essential
YBR244W	non_essential
YBR245C	non_essential
YBR246W	non_essential
YBR247C	essential
YBR248C	non_essential
YBR249C	non_essential
YBR250W	non_essential
YBR251W	non_essential
YBR252W	essential
YBR253W	essential
YBR254C	essential
YBR255C-A	non_essential
YBR255W	non_essential
YBR256C	essential
YBR257W	essential
YBR258C	non_essential
YBR259W	non_essential
YBR260C	non_essential
YBR261C	non_essential
YBR262C	non_essential
