Gene.featureType	Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.organism.shortName	Gene.symbol	Gene.name	Gene.sgdAlias
ORF	S000002319	YDL160C	S. cerevisiae	DHH1	DEAD box Helicase Homolog	DExD/H-box ATP-dependent RNA helicase DHH1
ORF	S000002320	YDL161W	S. cerevisiae	ENT1	Epsin N-Terminal homology	epsin
ORF	S000002321	YDL162C	S. cerevisiae	""	""	""
ORF	S000002322	YDL163W	S. cerevisiae	""	""	""
ORF	S000002323	YDL164C	S. cerevisiae	CDC9	Cell Division Cycle	DNA ligase (ATP) CDC9|MMS8
ORF	S000002324	YDL165W	S. cerevisiae	CDC36	Cell Division Cycle	CCR4-NOT core subunit CDC36|DNA19|NOT2
ORF	S000002325	YDL166C	S. cerevisiae	FAP7	Factor Activating Pos9	nucleoside-triphosphatase
ORF	S000002326	YDL167C	S. cerevisiae	NRP1	N (asparagine)-Rich Protein	""
ORF	S000002327	YDL168W	S. cerevisiae	SFA1	Sensitive to FormAldehyde	ADH5|bifunctional alcohol dehydrogenase/S-(hydroxymethyl)glutathione dehydrogenase
ORF	S000002328	YDL169C	S. cerevisiae	UGX2	Unidentified Gene X	""
ORF	S000002329	YDL170W	S. cerevisiae	UGA3	Utilization of GAba	""
ORF	S000002330	YDL171C	S. cerevisiae	GLT1	GLuTamate synthase	glutamate synthase (NADH)
ORF	S000002331	YDL172C	S. cerevisiae	""	""	""
ORF	S000002332	YDL173W	S. cerevisiae	PAR32	Phosphorylated After Rapamycin	AMU1
ORF	S000002333	YDL174C	S. cerevisiae	DLD1	D-Lactate Dehydrogenase	D-lactate dehydrogenase
ORF	S000002334	YDL175C	S. cerevisiae	AIR2	Arginine methyltransferase-Interacting RING finger protein	TRAMP complex RNA-binding subunit
ORF	S000002335	YDL176W	S. cerevisiae	GID12	Glucose Induced Degradation deficient	IPF1
ORF	S000002336	YDL177C	S. cerevisiae	""	""	""
ORF	S000002337	YDL178W	S. cerevisiae	DLD2	D-Lactate Dehydrogenase	AIP2|D-lactate dehydrogenase
ORF	S000002338	YDL179W	S. cerevisiae	PCL9	Pho85 CycLin	""
ORF	S000002339	YDL180W	S. cerevisiae	AIT1	Amino acid dependent Inhibitor of Torc1	""
ORF	S000002340	YDL181W	S. cerevisiae	INH1	INHibitor (of F1F0-ATPase)	ATPase inhibitor
ORF	S000002341	YDL182W	S. cerevisiae	LYS20	LYSine requiring	homocitrate synthase LYS20
ORF	S000002342	YDL183C	S. cerevisiae	MRX19	Mitochondrial oRganization of gene eXpression (MIOREX)	MKR1
ORF	S000002343	YDL184C	S. cerevisiae	RPL41A	Ribosomal Protein of the Large subunit	eL41|L41A|L41e|L47A|ribosomal 60S subunit protein L41A|RPL47A|YL41
ORF	S000002344	YDL185W	S. cerevisiae	VMA1	Vacuolar Membrane Atpase	CLS8|H(+)-transporting V1 sector ATPase subunit A|TFP1
ORF	S000002345	YDL186W	S. cerevisiae	""	""	""
ORF	S000002346	YDL187C	S. cerevisiae	""	""	""
ORF	S000002347	YDL188C	S. cerevisiae	PPH22	Protein PHosphatase	phosphoprotein phosphatase 2A catalytic subunit PPH22|PPH2
ORF	S000002348	YDL189W	S. cerevisiae	RBS1	RNA-Binding Suppressor of PAS kinase	[VTS1+]
ORF	S000002349	YDL190C	S. cerevisiae	UFD2	Ubiquitin Fusion Degradation	ubiquitin-ubiquitin ligase UFD2
ORF	S000002350	YDL191W	S. cerevisiae	RPL35A	Ribosomal Protein of the Large subunit	L29|L35A|ribosomal 60S subunit protein L35A|SOS1|uL29
ORF	S000002351	YDL192W	S. cerevisiae	ARF1	ADP-Ribosylation Factor	Arf family GTPase ARF1
ORF	S000002352	YDL193W	S. cerevisiae	NUS1	Nuclear Undecaprenyl pyrophosphate Synthase	ditrans,polycis-polyprenyl diphosphate synthase
ORF	S000002353	YDL194W	S. cerevisiae	SNF3	Sucrose NonFermenting	glucose sensor
ORF	S000002354	YDL195W	S. cerevisiae	SEC31	SECretory	WEB1
ORF	S000002355	YDL196W	S. cerevisiae	""	""	""
ORF	S000002356	YDL197C	S. cerevisiae	ASF2	Anti-Silencing Function	""
ORF	S000002357	YDL198C	S. cerevisiae	GGC1	GDP/GTP Carrier	SHM1|YHM1
ORF	S000002358	YDL199C	S. cerevisiae	""	""	""
ORF	S000002359	YDL200C	S. cerevisiae	MGT1	O-6-MethylGuanine-DNA methylTransferase	methylated-DNA--protein-cysteine methyltransferase|MGMT
ORF	S000002360	YDL201W	S. cerevisiae	TRM8	Transfer RNA Methyltransferase	tRNA (guanine46-N7)-methyltransferase
ORF	S000002361	YDL202W	S. cerevisiae	MRPL11	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL11|uL10m|YmL11
ORF	S000002362	YDL203C	S. cerevisiae	ACK1	Activator of C Kinase	""
ORF	S000002363	YDL204W	S. cerevisiae	RTN2	ReTiculoN-like	""
ORF	S000002364	YDL205C	S. cerevisiae	HEM3	HEMe biosynthesis	hydroxymethylbilane synthase|OLE2
ORF	S000002365	YDL206W	S. cerevisiae	YCX1	Yeast CCX	""
ORF	S000002366	YDL207W	S. cerevisiae	GLE1	GLFG (glycine-leucine-phenylalanine-glycine) LEthal	BRR3|NLE2|nucleoporin GLE1|RSS1
ORF	S000002367	YDL208W	S. cerevisiae	NHP2	Non-Histone Protein	snoRNA-binding protein NHP2
ORF	S000002368	YDL209C	S. cerevisiae	CWC2	Complexed With Cef1p	NTC40
ORF	S000002369	YDL210W	S. cerevisiae	UGA4	Utilization of GAba	""
ORF	S000002370	YDL211C	S. cerevisiae	""	""	""
ORF	S000002371	YDL212W	S. cerevisiae	SHR3	Super high Histidine Resistant	APF1
ORF	S000002372	YDL213C	S. cerevisiae	NOP6	NucleOlar Protein	""
ORF	S000002373	YDL214C	S. cerevisiae	PRR2	Pheromone Response Regulator	serine/threonine protein kinase PRR2
ORF	S000002374	YDL215C	S. cerevisiae	GDH2	Glutamate DeHydrogenase	GDHB|GDH-B|glutamate dehydrogenase (NAD(+))
ORF	S000002375	YDL216C	S. cerevisiae	RRI1	Regulator of Rub1 specific Isopeptidase	COP9 signalosome catalytic subunit RRI1|CSN5|JAB1
