Gene.featureType	Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.organism.shortName	Gene.symbol	Gene.name	Gene.sgdAlias
blocked reading frame	S000000911	YER109C	S. cerevisiae	FLO8	FLOcculation	PHD5|STA10|transcription factor FLO8|YER108C
blocked reading frame	S000001429	YIL167W	S. cerevisiae	SDL1	""	L-serine ammonia-lyase|YIL168W
blocked reading frame	S000001482	YIR043C	S. cerevisiae	""	""	YIR044C
blocked reading frame	S000002541	YDR134C	S. cerevisiae	CCW22	Covalently bound Cell Wall protein	""
blocked reading frame	S000005513	YOL153C	S. cerevisiae	""	""	""
blocked reading frame	S000005557	YOR031W	S. cerevisiae	CRS5	Copper-Resistant Suppressor	metallothionein CRS5
intein encoding region	S000029636	VDE	S. cerevisiae	VDE	VMA1-Derived Endonuclease	PI-SceI|VDE1|YDL184w-a|YDL185W2
intein_encoding_region	S000002344_C	""	S. cerevisiae	""	""	""
ncRNA gene	S000006490	YNCE0007C	S. cerevisiae	RPR1	RNase P Ribonucleoprotein	""
ncRNA gene	S000006491	YNCE0024W	S. cerevisiae	SCR1	Small Cytoplasmic RNA	""
ncRNA gene	S000028470	YNCH0007W	S. cerevisiae	RUF5-1	RNA of Unknown Function	RUF5
ncRNA gene	S000028474	YNCH0008W	S. cerevisiae	RUF5-2	RNA of Unknown Function	RUF5
ncRNA gene	S000029010	YNCE0017W	S. cerevisiae	SRG1	SER3 Regulatory Gene	""
ncRNA gene	S000029023	YNCQ0027W	S. cerevisiae	RPM1	RNase P Mitochondrial	Q0285
ncRNA gene	S000077071	YNCM0003W	S. cerevisiae	ZOD1	Zone Of Disparity	""
ncRNA gene	S000114171	YNCM0032C	S. cerevisiae	RNA170	""	""
ncRNA gene	S000119380	YNCA0001W	S. cerevisiae	HRA1	Hidden in Region Antisense	""
ncRNA gene	S000130127	YNCF0003C	S. cerevisiae	RUF20	RNA of Unknown Function	""
ncRNA gene	S000130129	YNCF0001C	S. cerevisiae	RUF21	RNA of Unknown Function	""
ncRNA gene	S000130131	YNCF0010C	S. cerevisiae	RUF22	RNA of Unknown Function	""
ncRNA gene	S000130133	YNCF0013W	S. cerevisiae	RUF23	RNA of Unknown Function	""
ncRNA gene	S000132612	YNCI0012	S. cerevisiae	ICR1	Interfering Crick RNA	""
ncRNA gene	S000132614	YNCI0013W	S. cerevisiae	PWR1	Promoting Watson RNA	PWR1
ncRNA gene	S000144908	YNCG0006C	S. cerevisiae	RME2	Regulator of Meiosis	IME4-AS
ncRNA gene	S000144910	YNCG0001C	S. cerevisiae	RME3	Regulator of Meiosis	SUT534
ncRNA gene	S000178119	YNCJ0028C	S. cerevisiae	IRT1	IME1 Regulatory Transcript	SUT643
ncRNA gene	S000303802	YNCB0008W	S. cerevisiae	""	""	GAL10-ncRNA|GAL1ucut
ncRNA gene	S000303803	YNCB0014W	S. cerevisiae	TBRT	TAT1 and BAP2 Regulatory Transcript	XUT_2F-154
ncRNA gene	S000303809	YNCH0011W	S. cerevisiae	SUT169	Stable Unannotated Transcript	""
ncRNA gene	S000303814	YNCM0001W	S. cerevisiae	""	""	PHO84 AS RNA|PHO84 lncRNA|PHO84 lncRNA
ncRNA gene	S000303815	YNCP0002W	S. cerevisiae	""	""	GAL4 lncRNA|GAL4 lncRNA
ncRNA gene	S000345037	YNCC0015W	S. cerevisiae	SUT035	Stable Unannotated Transcript	""
ncRNA gene	S000345038	YNCD0033W	S. cerevisiae	SUT053	Stable Unannotated Transcript	""
ncRNA gene	S000345039	YNCD0034C	S. cerevisiae	SUT468	Stable Unannotated Transcript	""
ncRNA gene	S000345040	YNCG0047C	S. cerevisiae	SUT532	Stable Unannotated Transcript	""
ncRNA gene	S000345041	YNCG0048W	S. cerevisiae	SUT125	Stable Unannotated Transcript	""
ncRNA gene	S000345042	YNCG0049W	S. cerevisiae	SUT126	Stable Unannotated Transcript	""
ncRNA gene	S000345043	YNCP0025W	S. cerevisiae	SUT390	Stable Unannotated Transcript	""
ncRNA gene	S000345044	YNCP0026W	S. cerevisiae	SUT418	Stable Unannotated Transcript	""
not in systematic sequence of S288C	S000029237	YSC0002	S. cerevisiae	KHR1	Killer of Heat Resistant	""
not in systematic sequence of S288C	S000029328	YSC0030	S. cerevisiae	NTS1-1	NonTranscribed Spacer	""
not in systematic sequence of S288C	S000029417	YSC0031	S. cerevisiae	RF2	Reading Frame 2	""
not in systematic sequence of S288C	S000029522	YSC0033	S. cerevisiae	STA1	STArch	""
not in systematic sequence of S288C	S000029524	YSC0034	S. cerevisiae	STA2	STArch	""
not in systematic sequence of S288C	S000029525	YSC0035	S. cerevisiae	STA3	STArch	""
not in systematic sequence of S288C	S000029531	YSC0037	S. cerevisiae	SUC1	SUCrose	""
not in systematic sequence of S288C	S000029532	YSC0038	S. cerevisiae	SUC3	SUCrose	""
not in systematic sequence of S288C	S000029533	YSC0039	S. cerevisiae	SUC4	SUCrose	""
not in systematic sequence of S288C	S000029534	YSC0040	S. cerevisiae	SUC5	SUCrose	""
not in systematic sequence of S288C	S000029535	YSC0041	S. cerevisiae	SUC7	SUCrose	""
not in systematic sequence of S288C	S000029656	YSC0003	S. cerevisiae	MAL2	MALtose fermentation	""
not in systematic sequence of S288C	S000029657	YSC0006	S. cerevisiae	MAL23	MALtose fermentation	""
not in systematic sequence of S288C	S000029658	YSC0013	S. cerevisiae	MAL61	MALtose fermentation	""
not in systematic sequence of S288C	S000029659	YSC0015	S. cerevisiae	MAL63	MALtose fermentation	""
not in systematic sequence of S288C	S000029660	YSC0017	S. cerevisiae	MATA1	MATing type	""
not in systematic sequence of S288C	S000029661	YSC0018	S. cerevisiae	MATA2	MATing type	""
not in systematic sequence of S288C	S000029662	YSC0019	S. cerevisiae	MEL1	MELibiose	""
not in systematic sequence of S288C	S000029663	YSC0021	S. cerevisiae	MEL2	MELibiose	""
not in systematic sequence of S288C	S000029664	YSC0024	S. cerevisiae	MEL5	MELibiose	""
not in systematic sequence of S288C	S000029665	YSC0025	S. cerevisiae	MEL6	MELibiose	""
not in systematic sequence of S288C	S000029666	YSC0029	S. cerevisiae	MPR1	sigMa1278b gene for L-Proline analogue Resistance	""
not in systematic sequence of S288C	S000029677	YSC0032	S. cerevisiae	RTM1	Resistance to Toxic Molasses	""
not in systematic sequence of S288C	S000029679	YSC0036	S. cerevisiae	STRP	S. cerevisiae TM30nm Related Protein	""
not in systematic sequence of S288C	S000029681	YSC0004	S. cerevisiae	MAL21	MALtose fermentation	""
not in systematic sequence of S288C	S000029682	YSC0005	S. cerevisiae	MAL22	MALtose fermentation	""
not in systematic sequence of S288C	S000029684	YSC0007	S. cerevisiae	MAL34	MALtose fermentation	""
not in systematic sequence of S288C	S000029685	YSC0008	S. cerevisiae	MAL4	MALtose fermentation	""
not in systematic sequence of S288C	S000029686	YSC0009	S. cerevisiae	MAL41	MALtose fermentation	""
not in systematic sequence of S288C	S000029687	YSC0010	S. cerevisiae	MAL42	MALtose fermentation	""
not in systematic sequence of S288C	S000029688	YSC0011	S. cerevisiae	MAL43	MALtose fermentation	""
not in systematic sequence of S288C	S000029689	YSC0012	S. cerevisiae	MAL6	MALtose fermentation	""
not in systematic sequence of S288C	S000029690	YSC0014	S. cerevisiae	MAL62	MALtose fermentation	""
not in systematic sequence of S288C	S000029691	YSC0016	S. cerevisiae	MAL64	MALtose fermentation	""
not in systematic sequence of S288C	S000029692	YSC0020	S. cerevisiae	MEL10	MELibiose	""
not in systematic sequence of S288C	S000029693	YSC0022	S. cerevisiae	MEL3	MELibiose	""
not in systematic sequence of S288C	S000029694	YSC0023	S. cerevisiae	MEL4	MELibiose	""
not in systematic sequence of S288C	S000029695	YSC0026	S. cerevisiae	MEL7	MELibiose	""
not in systematic sequence of S288C	S000029696	YSC0027	S. cerevisiae	MEL8	MELibiose	""
not in systematic sequence of S288C	S000029697	YSC0028	S. cerevisiae	MEL9	MELibiose	""
not in systematic sequence of S288C	S000029698	YSC0001	S. cerevisiae	ENS2	ENdo.SceI	""
not in systematic sequence of S288C	S000029703	YSC0042	S. cerevisiae	AWA1	AWA (Japanese for "foam")	""
not in systematic sequence of S288C	S000029723	YSC0043	S. cerevisiae	BIO6	BIOtin	""
not in systematic sequence of S288C	S000080162	YSC0044	S. cerevisiae	KHS1	Killer of Heat Sensitive	""
not in systematic sequence of S288C	S000124112	YSC0045	S. cerevisiae	TAT3	Tyrosine Amino acid Transporter	""
not in systematic sequence of S288C	S000124955	YSC0046	S. cerevisiae	MATA	MATing type	""
not in systematic sequence of S288C	S000125018	YSC0047	S. cerevisiae	BIO1	BIOtin	""
not in systematic sequence of S288C	S000125021	YSC0048	S. cerevisiae	BIO8	BIOtin	""
not in systematic sequence of S288C	S000125022	YSC0049	S. cerevisiae	BIO7	BIOtin	""
not in systematic sequence of S288C	S000130715	YSC0050	S. cerevisiae	ENA6	Exitus NAtru (Latin, "exit sodium")	""
not in systematic sequence of S288C	S000133140	YSC0051	S. cerevisiae	XDH1	Xylitol Deydrogenase	""
not in systematic sequence of S288C	S000134352	YSC0052	S. cerevisiae	SUC8	SUCrose	""
not in systematic sequence of S288C	S000145155	YSC0053	S. cerevisiae	FPG1	Foam-Promoting Gene	""
not in systematic sequence of S288C	S000149345	YSC0054	S. cerevisiae	IMI1	Irr1 Mediated Interaction	""
not in systematic sequence of S288C	S000150108	YSC0055	S. cerevisiae	MPR2	sigMa1278b gene for L-Proline analogue Resistance	""
not in systematic sequence of S288C	S000342316	YSC0058	S. cerevisiae	DFP13	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342317	YSC0059	S. cerevisiae	DFP14	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342318	YSC0060	S. cerevisiae	DFP15	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342319	YSC0061	S. cerevisiae	DFP16	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342320	YSC0062	S. cerevisiae	DFP17	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342321	YSC0063	S. cerevisiae	DFP18	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342322	YSC0064	S. cerevisiae	DFP19	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342323	YSC0065	S. cerevisiae	DFP20	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342324	YSC0066	S. cerevisiae	DFP21	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342325	YSC0067	S. cerevisiae	DFP22	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342326	YSC0068	S. cerevisiae	DFP23	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342327	YSC0069	S. cerevisiae	DFP24	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342328	YSC0070	S. cerevisiae	DFP25	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342329	YSC0071	S. cerevisiae	DFP26	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342330	YSC0056	S. cerevisiae	DFP11	DUP240 Family Protein	""
not in systematic sequence of S288C	S000342331	YSC0057	S. cerevisiae	DFP12	DUP240 Family Protein	""
ORF	S000000001	YAL001C	S. cerevisiae	TFC3	Transcription Factor class C	FUN24|tau 138|transcription factor TFIIIC subunit TFC3|TSV115
ORF	S000000002	YAL002W	S. cerevisiae	VPS8	Vacuolar Protein Sorting	CORVET complex membrane-binding subunit VPS8|FUN15|VPL8|VPT8
ORF	S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	eEF1Balpha|EF-1beta|TEF5|translation elongation factor 1 subunit beta
ORF	S000000004	YAL005C	S. cerevisiae	SSA1	Stress-Seventy subfamily A	Hsp70 family ATPase SSA1|YG100
ORF	S000000005	YAL007C	S. cerevisiae	ERP2	Emp24p/Erv25p Related Protein	""
ORF	S000000006	YAL008W	S. cerevisiae	FUN14	Function Unknown Now	MCP3
ORF	S000000007	YAL009W	S. cerevisiae	SPO7	SPOrulation	Nem1-Spo7 phosphatase regulatory subunit SPO7
ORF	S000000008	YAL010C	S. cerevisiae	MDM10	Mitochondrial Distribution and Morphology	FUN37
ORF	S000000009	YAL011W	S. cerevisiae	SWC3	SWr Complex	SWC1
ORF	S000000010	YAL012W	S. cerevisiae	CYS3	CYStathionine gamma-lyase	CYI1|cystathionine gamma-lyase CYS3|FUN35|STR1
ORF	S000000011	YAL013W	S. cerevisiae	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	FUN54|Rpd3L histone deacetylase complex subunit DEP1
ORF	S000000012	YAL014C	S. cerevisiae	SYN8	SYNtaxin	SLT2|syntaxin|UIP2
ORF	S000000013	YAL015C	S. cerevisiae	NTG1	eNdonuclease Three-like Glycosylase	bifunctional N-glycosylase/AP lyase NTG1|FUN33|ogg2|SCR1
ORF	S000000014	YAL016W	S. cerevisiae	TPD3	tRNA Processing Deficient	FUN32|protein phosphatase 2A structural subunit TPD3
ORF	S000000015	YAL017W	S. cerevisiae	PSK1	Pas domain-containing Serine/threonine protein Kinase	FUN31|serine/threonine protein kinase PSK1
ORF	S000000016	YAL018C	S. cerevisiae	LDS1	Lipid Droplets in Sporulation	""
ORF	S000000017	YAL019W	S. cerevisiae	FUN30	Function Unknown Now	DNA-dependent ATPase FUN30
ORF	S000000018	YAL020C	S. cerevisiae	ATS1	Alpha Tubulin Suppressor	DPH8|FUN28|KTI13
ORF	S000000019	YAL021C	S. cerevisiae	CCR4	Carbon Catabolite Repression	CCR4-NOT core exoribonuclease subunit CCR4|FUN27|NUT21
ORF	S000000020	YAL022C	S. cerevisiae	FUN26	Function Unknown Now	nucleoside transmembrane transporter FUN26
ORF	S000000021	YAL023C	S. cerevisiae	PMT2	Protein O-MannosylTransferase	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|FUN25
ORF	S000000022	YAL024C	S. cerevisiae	LTE1	Low Temperature Essential	mitotic regulator LTE1|MSI2
ORF	S000000023	YAL025C	S. cerevisiae	MAK16	MAintenance of Killer	ribosome biosynthesis protein MAK16
ORF	S000000024	YAL026C	S. cerevisiae	DRS2	Deficiency of Ribosomal Subunits	aminophospholipid-translocating P4-type ATPase DRS2|FUN38|SWA3
ORF	S000000025	YAL027W	S. cerevisiae	SAW1	Single-strand Annealing Weakened	DNA-binding protein SAW1
ORF	S000000026	YAL028W	S. cerevisiae	FRT2	Functionally Related to TCP1	HPH2
ORF	S000000027	YAL029C	S. cerevisiae	MYO4	MYOsin	FUN22|myosin 4|SHE1
ORF	S000000028	YAL030W	S. cerevisiae	SNC1	Suppressor of the Null allele of CAP	SNAP receptor SNC1
ORF	S000000029	YAL031C	S. cerevisiae	GIP4	Glc7 Interacting Protein	FUN21|protein phosphatase regulator GIP4
ORF	S000000030	YAL032C	S. cerevisiae	PRP45	Pre-mRNA Processing	FUN20|mRNA splicing protein PRP45
ORF	S000000031	YAL033W	S. cerevisiae	POP5	Processing Of Precursor RNAs	FUN53|RNA-binding protein POP5
ORF	S000000032	YAL034W-A	S. cerevisiae	MTW1	Mis TWelve-like	DSN3|MIND complex subunit MTW1|NSL2
ORF	S000000033	YAL035W	S. cerevisiae	FUN12	Function Unknown Now	eIF5B|translation initiation factor eIF5B|yIF2
ORF	S000000034	YAL036C	S. cerevisiae	RBG1	RiBosome interacting Gtpase	FUN11|GTP-binding protein RBG1
ORF	S000000035	YAL037W	S. cerevisiae	""	""	""
ORF	S000000036	YAL038W	S. cerevisiae	CDC19	Cell Division Cycle	PYK1|pyruvate kinase CDC19
ORF	S000000037	YAL039C	S. cerevisiae	CYC3	CYtochrome C	CCHL|holocytochrome c synthase CYC3
ORF	S000000038	YAL040C	S. cerevisiae	CLN3	CycLiN	cyclin CLN3|DAF1|FUN10|WHI1
ORF	S000000039	YAL041W	S. cerevisiae	CDC24	Cell Division Cycle	CLS4|Rho family guanine nucleotide exchange factor CDC24
ORF	S000000040	YAL042W	S. cerevisiae	ERV46	ER Vesicle	FUN9
ORF	S000000041	YAL043C	S. cerevisiae	PTA1	Pre-Trna Accumulation	FUN39|RNA-processing protein PTA1
ORF	S000000042	YAL044C	S. cerevisiae	GCV3	GlyCine cleaVage	glycine decarboxylase subunit H
ORF	S000000043	YAL045C	S. cerevisiae	""	""	""
ORF	S000000044	YAL046C	S. cerevisiae	BOL3	BolA-like protein	AIM1
ORF	S000000045	YAL047C	S. cerevisiae	SPC72	Spindle Pole Component	gamma-tubulin complex subunit SPC72|LDB4
ORF	S000000046	YAL048C	S. cerevisiae	GEM1	GTPase EF-hand protein of Mitochondria	ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1
ORF	S000000047	YAL049C	S. cerevisiae	AIM2	Altered Inheritance rate of Mitochondria	protein AIM2
ORF	S000000048	YAL051W	S. cerevisiae	OAF1	Oleate-Activated transcription Factor	oleate-activated transcription factor OAF1|YAF1
ORF	S000000049	YAL053W	S. cerevisiae	FLC2	FLavin Carrier	flavin adenine dinucleotide transporter FLC2|HUF2
ORF	S000000050	YAL054C	S. cerevisiae	ACS1	Acetyl CoA Synthetase	acetate--CoA ligase 1|FUN44
ORF	S000000051	YAL055W	S. cerevisiae	PEX22	PEroXisome related	ubiquitin-protein transferase activating protein PEX22|YAF5
ORF	S000000052	YAL056W	S. cerevisiae	GPB2	""	KRH1
ORF	S000000054	YAL058W	S. cerevisiae	CNE1	CalNExin and calreticulin homolog	calnexin|FUN48
ORF	S000000055	YAL059W	S. cerevisiae	ECM1	ExtraCellular Mutant	""
ORF	S000000056	YAL060W	S. cerevisiae	BDH1	Butanediol DeHydrogenase	BDH|(R,R)-butanediol dehydrogenase
ORF	S000000057	YAL061W	S. cerevisiae	BDH2	""	putative dehydrogenase BDH2
ORF	S000000058	YAL062W	S. cerevisiae	GDH3	Glutamate DeHydrogenase	FUN51|glutamate dehydrogenase (NADP(+)) GDH3
ORF	S000000059	YAL063C	S. cerevisiae	FLO9	FLOcculation	flocculin FLO9
ORF	S000000060	YAL064W	S. cerevisiae	""	""	""
ORF	S000000061	YAL066W	S. cerevisiae	""	""	""
ORF	S000000062	YAL067C	S. cerevisiae	SEO1	Suppressor of sulfoxyde EthiOnine resistance	putative permease SEO1
ORF	S000000063	YAR002W	S. cerevisiae	NUP60	NUclear Pore	FG-nucleoporin NUP60
ORF	S000000064	YAR003W	S. cerevisiae	SWD1	Set1c, WD40 repeat protein	COMPASS subunit protein SWD1|CPS50|FUN16|SAF49
ORF	S000000065	YAR007C	S. cerevisiae	RFA1	Replication Factor A	BUF2|FUN3|replication factor A subunit protein RFA1|RPA1|RPA70
ORF	S000000066	YAR008W	S. cerevisiae	SEN34	Splicing ENdonuclease	FUN4|tRNA splicing endonuclease subunit SEN34
ORF	S000000069	YAR014C	S. cerevisiae	BUD14	BUD site selection	protein phosphatase regulator BUD14
ORF	S000000070	YAR015W	S. cerevisiae	ADE1	ADEnine requiring	phosphoribosylaminoimidazolesuccinocarboxamide synthase
ORF	S000000071	YAR018C	S. cerevisiae	KIN3	protein KINase	FUN52|NPK1|serine/threonine protein kinase KIN3
ORF	S000000072	YAR019C	S. cerevisiae	CDC15	Cell Division Cycle	LYT1|RLT1|serine/threonine protein kinase CDC15
ORF	S000000073	YAR020C	S. cerevisiae	PAU7	seriPAUperin family	seripauperin PAU7
ORF	S000000074	YAR023C	S. cerevisiae	DFP1	DUP240 Family Protein	DUP240 family protein
ORF	S000000075	YAR027W	S. cerevisiae	UIP3	Ulp1 Interacting Protein	DUP240 family protein UIP3
ORF	S000000076	YAR028W	S. cerevisiae	KTD1	Killer Toxin Defens	DUP240 family protein
ORF	S000000077	YAR029W	S. cerevisiae	DFP2	DUP240 Family Protein	DUP240 family protein
ORF	S000000078	YAR031W	S. cerevisiae	PRM9	Pheromone-Regulated Membrane protein	pheromone-regulated DUP240 family protein PRM9
ORF	S000000079	YAR033W	S. cerevisiae	MST28	Multicopy suppressor of Sec Twenty one	DUP240 family protein MST28
ORF	S000000080	YAR035W	S. cerevisiae	YAT1	""	carnitine O-acetyltransferase YAT1
ORF	S000000081	YAR042W	S. cerevisiae	SWH1	""	OSH1|oxysterol-binding protein related protein SWH1|YAR044W
ORF	S000000083	YAR047C	S. cerevisiae	""	""	""
ORF	S000000084	YAR050W	S. cerevisiae	FLO1	FLOcculation	FLO2|FLO4|flocculin FLO1
ORF	S000000085	YAR053W	S. cerevisiae	""	""	""
ORF	S000000086	YAR060C	S. cerevisiae	""	""	""
ORF	S000000089	YAR064W	S. cerevisiae	""	""	""
ORF	S000000091	YAR068W	S. cerevisiae	""	""	""
ORF	S000000092	YAR069C	S. cerevisiae	""	""	""
ORF	S000000093	YAR070C	S. cerevisiae	""	""	""
ORF	S000000094	YAR071W	S. cerevisiae	PHO11	PHOsphate metabolism	acid phosphatase PHO11
ORF	S000000095	YAR073W	S. cerevisiae	IMD1	IMP Dehydrogenase	IMP dehydrogenase
ORF	S000000097	YBL001C	S. cerevisiae	ECM15	ExtraCellular Mutant	""
ORF	S000000098	YBL002W	S. cerevisiae	HTB2	Histone h Two B	histone H2B
ORF	S000000099	YBL003C	S. cerevisiae	HTA2	Histone h Two A	H2A2|histone H2A
ORF	S000000100	YBL004W	S. cerevisiae	UTP20	U Three Protein	""
ORF	S000000101	YBL005W	S. cerevisiae	PDR3	Pleiotropic Drug Resistance	AMY2|drug-responsive transcription factor PDR3|TPE2
ORF	S000000102	YBL006C	S. cerevisiae	LDB7	Low Dye Binding	RSC14
ORF	S000000103	YBL007C	S. cerevisiae	SLA1	Synthetic Lethal with ABP1	cytoskeletal protein-binding protein SLA1
ORF	S000000104	YBL008W	S. cerevisiae	HIR1	HIstone Regulation	""
ORF	S000000105	YBL009W	S. cerevisiae	ALK2	""	protein kinase ALK2
ORF	S000000106	YBL010C	S. cerevisiae	LAA2	Large Adaptin Accessory	""
ORF	S000000107	YBL011W	S. cerevisiae	SCT1	Suppressor of Choline-Transport mutants	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1|GAT2
ORF	S000000108	YBL012C	S. cerevisiae	""	""	""
ORF	S000000109	YBL013W	S. cerevisiae	FMT1	Formyl-Methionyl-tRNA Transformylase	methionyl-tRNA formyltransferase
ORF	S000000110	YBL014C	S. cerevisiae	RRN6	Regulation of RNA polymerase I	""
ORF	S000000111	YBL015W	S. cerevisiae	ACH1	Acetyl CoA Hydrolase	acetyl-CoA hydrolase
ORF	S000000112	YBL016W	S. cerevisiae	FUS3	cell FUSion	DAC2|mitogen-activated serine/threonine-protein kinase FUS3
ORF	S000000113	YBL017C	S. cerevisiae	PEP1	carboxyPEPtidase Y-deficient	type I sorting receptor|VPS10|VPT1
ORF	S000000114	YBL018C	S. cerevisiae	POP8	Processing Of Precursor RNAs	ribonuclease P
ORF	S000000115	YBL019W	S. cerevisiae	APN2	APurinic/apyrimidinic eNdonuclease	DNA-(apurinic or apyrimidinic site) lyase APN2|ETH1
ORF	S000000116	YBL020W	S. cerevisiae	RFT1	Requiring Fifty-Three	glycolipid translocation protein
ORF	S000000117	YBL021C	S. cerevisiae	HAP3	Heme Activator Protein	""
ORF	S000000118	YBL022C	S. cerevisiae	PIM1	Proteolysis In Mitochondria	ATP-dependent Lon protease PIM1|LON1
ORF	S000000119	YBL023C	S. cerevisiae	MCM2	MiniChromosome Maintenance	MCM DNA helicase complex subunit MCM2
ORF	S000000120	YBL024W	S. cerevisiae	NCL1	NuCLear protein	TRM4|tRNA (cytosine-C5-)-methyltransferase
ORF	S000000121	YBL025W	S. cerevisiae	RRN10	Regulation of RNA polymerase I	""
ORF	S000000122	YBL026W	S. cerevisiae	LSM2	Like SM	Sm-like protein LSM2|SMX5|SNP3
ORF	S000000123	YBL027W	S. cerevisiae	RPL19B	Ribosomal Protein of the Large subunit	eL19|L19B|L19e|L23B|ribosomal 60S subunit protein L19B|rpl5L|YL14
ORF	S000000124	YBL028C	S. cerevisiae	""	""	""
ORF	S000000125	YBL029W	S. cerevisiae	""	""	""
ORF	S000000126	YBL030C	S. cerevisiae	PET9	PETite	AAC2|ADP/ATP carrier protein PET9|ANC2|OP1
ORF	S000000127	YBL031W	S. cerevisiae	SHE1	Sensitivity to High Expression	""
ORF	S000000128	YBL032W	S. cerevisiae	HEK2	HEterogeneous nuclear rnp K-like gene	KHD1
ORF	S000000129	YBL033C	S. cerevisiae	RIB1	RIBoflavin biosynthesis	GTP cyclohydrolase II
ORF	S000000130	YBL034C	S. cerevisiae	STU1	Suppressor of TUbulin	""
ORF	S000000131	YBL035C	S. cerevisiae	POL12	POLymerase	DNA-directed DNA polymerase alpha subunit POL12
ORF	S000000132	YBL036C	S. cerevisiae	""	""	""
ORF	S000000133	YBL037W	S. cerevisiae	APL3	clathrin Adaptor Protein complex Large chain	""
ORF	S000000134	YBL038W	S. cerevisiae	MRPL16	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL47|RML16|uL16m|YmL47
ORF	S000000135	YBL039C	S. cerevisiae	URA7	URAcil requiring	CTP synthase URA7
ORF	S000000136	YBL040C	S. cerevisiae	ERD2	Endoplasmic reticulum Retention Defective	""
ORF	S000000137	YBL041W	S. cerevisiae	PRE7	PRoteinase yscE	proteasome core particle subunit beta 6|PRS3
ORF	S000000138	YBL042C	S. cerevisiae	FUI1	5-FlUorourIdine resistance	uridine permease
ORF	S000000139	YBL043W	S. cerevisiae	ECM13	ExtraCellular Mutant	""
ORF	S000000140	YBL044W	S. cerevisiae	""	""	""
ORF	S000000141	YBL045C	S. cerevisiae	COR1	CORe protein of QH2 cytochrome c reductase	QCR1|ubiquinol--cytochrome-c reductase subunit COR1
ORF	S000000142	YBL046W	S. cerevisiae	PSY4	Platinum SensitivitY	HSM6
ORF	S000000143	YBL047C	S. cerevisiae	EDE1	EH Domains and Endocytosis	BUD15
ORF	S000000144	YBL048W	S. cerevisiae	RRT1	Regulator of rDNA Transcription	""
ORF	S000000145	YBL049W	S. cerevisiae	MOH1	""	""
ORF	S000000146	YBL050W	S. cerevisiae	SEC17	SECretory	RNS3
ORF	S000000147	YBL051C	S. cerevisiae	PIN4	Psi+ INducibility	MDT1
ORF	S000000148	YBL052C	S. cerevisiae	SAS3	Something About Silencing	histone acetyltransferase|KAT6
ORF	S000000149	YBL053W	S. cerevisiae	""	""	""
ORF	S000000150	YBL054W	S. cerevisiae	TOD6	Twin Of Dot6p	PBF1
ORF	S000000151	YBL055C	S. cerevisiae	""	""	3'-5'-exodeoxyribonuclease|Tat-D
ORF	S000000152	YBL056W	S. cerevisiae	PTC3	Phosphatase Two C	type 2C protein phosphatase PTC3
ORF	S000000153	YBL057C	S. cerevisiae	PTH2	Peptidyl-Trna Hydrolase	aminoacyl-tRNA hydrolase
ORF	S000000154	YBL058W	S. cerevisiae	SHP1	Suppressor of High-copy PP1	protein phosphatase regulator SHP1|UBX1
ORF	S000000155	YBL059W	S. cerevisiae	IAI11	Interactor of AIm11	""
ORF	S000000156	YBL060W	S. cerevisiae	YEL1	Yeast EFA6-Like	Arf family guanine nucleotide exchange factor YEL1
ORF	S000000157	YBL061C	S. cerevisiae	SKT5	""	CAL2|CHS4|CSD4
ORF	S000000158	YBL062W	S. cerevisiae	""	""	""
ORF	S000000159	YBL063W	S. cerevisiae	KIP1	KInesin related Protein	CIN9
ORF	S000000160	YBL064C	S. cerevisiae	PRX1	PeroxiRedoXin	thioredoxin peroxidase PRX1
ORF	S000000161	YBL065W	S. cerevisiae	""	""	""
ORF	S000000162	YBL066C	S. cerevisiae	SEF1	Suppressor of Essential Function	""
ORF	S000000163	YBL067C	S. cerevisiae	UBP13	UBiquitin-specific Protease	ubiquitin-specific protease UBP13
ORF	S000000164	YBL068W	S. cerevisiae	PRS4	PhosphoRibosylpyrophosphate Synthetase	ribose phosphate diphosphokinase subunit PRS4
ORF	S000000165	YBL069W	S. cerevisiae	AST1	ATPase STabilizing	""
