Gene_Symbol	Gene_ID	Haploinsufficiency_Score	Haploinsufficiency_Description	Triplosensitivity_Score	Triplosensitivity_Description	Haploinsufficiency_Disease_ID	Triplosensitivity_Disease_ID
SLC17A5	26503	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0019366	
SLC17A8	246213	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0019587	
SLC22A14	9389	40	Dosage sensitivity unlikely	0	No evidence available		
SLC22A18	5002	0	No evidence available	0	No evidence available		
SLC24A1	9187	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013450	
SLC25A1	6576	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014072	
SLC25A12	8604	0	No evidence available	0	No evidence available		
SLC25A13	10165	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011601	
SLC25A19	60386	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0000152	
SLC2A1	6513	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012805	
SLC2A10	81031	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008818	
SLC30A10	55532	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013208	
SLC34A1	6569	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014851	
SLC34A2	10568	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009928	
SLC35A2	7355	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010478	
SLC35C1	55343	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009953	
SLC35D1	23169	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010013	
SLC37A4	2542	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0002413	
SLC38A5	92745	0	No evidence available	0	No evidence available		
SLC38A8	146167	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012216	
SLC3A1	6519	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009067	
SLC4A10	57282	1	Little evidence for dosage pathogenicity	0	No evidence available		
SLC52A3	113278	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0024537	
SLC5A1	6523	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011731	
SLC6A1	6529	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
SLC6A18	348932	40	Dosage sensitivity unlikely	0	No evidence available		
SLC6A3	6531	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0054835	
SLC6A4	6532	0	No evidence available	0	No evidence available		
SLC6A8	6535	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010305	
SLC7A7	9056	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009109	
SLC7A9	11136	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009067	
SLC9A6	10479	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010278	
SLURP1	57152	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009552	
SMAD2	4087	0	No evidence available	0	No evidence available		
SMAD3	4088	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013426	
SMAD4	4089	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008278	
SMARCA2	6595	0	No evidence available	0	No evidence available	MONDO:0011053	
SMARCA4	6597	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0013224	
SMARCB1	6598	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012252	
SMC1A	8243	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010370	
SMOC1	64093	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008800	
SMOC2	64094	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0007436	
SMS	6611	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010664	
SNAP29	9342	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012290	
SNORD107	91380	0	No evidence available	0	No evidence available		
SNORD108	338427	0	No evidence available	0	No evidence available		
SNORD109B	338429	0	No evidence available	0	No evidence available		
SNORD64	347686	0	No evidence available	0	No evidence available		
SNORD8	319103	0	No evidence available	0	No evidence available		
SNORD9	692053	0	No evidence available	0	No evidence available		
SNRPN	6638	0	No evidence available	0	No evidence available		
SOBP	55084	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013353	
SON	6651	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014936	
SOS1	6654	0	No evidence available	0	No evidence available		
SOST	50964	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010016	
SOX10	6663	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013202	
SOX11	6664	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014376	
SOX2	6657	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008799	
SOX5	6660	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014778	
SOX8	30812	0	No evidence available	0	No evidence available		
SPAST	6683	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008438	
SPATA7	55812	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011415	
SPEG	10290	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014418	
SPEN	23013	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
SPG21	51324	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009568	
SPG7	6687	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011803	
SPINK1	6690	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008185	
SPINK5	11005	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009735	
SPP2	6694	0	No evidence available	0	No evidence available		
SPRED1	161742	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012669	
SRCAP	10847	1	Little evidence for dosage pathogenicity	0	No evidence available		
SRD5A2	6716	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009923	
SRPX2	27286	0	No evidence available	0	No evidence available		
SRY	6736	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0020712	
ST14	6768	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011218	
ST3GAL5	8869	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0018274	
STAG2	10735	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0020119	
STAT1	6772	0	No evidence available	0	No evidence available		
STIL	6491	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012989	
STK11	6794	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008280	
STRC	161497	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011364	
STS	412	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010622	
STT3A	3703	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014270	
STUB1	10273	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014339	
STX11	8676	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011336	
STXBP1	6812	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012812	
SUCLG1	8802	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009504	
SUMF1	285362	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010088	
SUPT16H	11198	0	No evidence available	0	No evidence available		
SURF1	6834	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009723	
SUZ12	23512	0	No evidence available	0	No evidence available		
SYN1	6853	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100148	
SYNE4	163183	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014237	
SYNGAP1	8831	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
SYP	6855	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0010429	
SYT14	255928	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013645	
TAB2	23118	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0014000	
TACSTD2	4070	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008777	
TAF13	6884	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0005090	
TAF2	6873	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014273	
TARDBP	23435	0	No evidence available	0	No evidence available		
TBC1D20	128637	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014296	
TBC1D5	9779	0	No evidence available	0	No evidence available		
TBCE	6905	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009426	
TBL1XR1	79718	3	Sufficient evidence for dosage pathogenicity	1	Little evidence for dosage pathogenicity	MONDO:0014842	
TBR1	10716	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
TBX1	6899	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0008644	
TBX2	6909	1	Little evidence for dosage pathogenicity	0	No evidence available		
TBX20	57057	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0012654	
TBX22	50945	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010560	
TBX3	6926	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008411	
TBX4	9496	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007841	
TBX5	6910	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007732	
TCF12	6938	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014128	
TCF20	6942	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
TCF4	6925	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012589	
TCF7L2	6934	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
TCIRG1	10312	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009815	
TCN2	6948	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010149	
TCOF1	6949	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007944	
TCTN1	79600	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013608	
TCTN2	79867	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013482	
TDGF1	6997	1	Little evidence for dosage pathogenicity	0	No evidence available		
TDP1	55775	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011801	
TECPR2	9895	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014016	
TECTA	7007	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011351	
TERT	7015	1	Little evidence for dosage pathogenicity	0	No evidence available		
TEX26	122046	40	Dosage sensitivity unlikely	0	No evidence available		
TFAP2B	7021	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008209	
TFR2	7036	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011417	
TGFBR1	7046	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0012212	
TGIF1	7050	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007734	
TGM1	7051	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009441	
TGM5	9333	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012345	
THRA	7067	0	No evidence available	0	No evidence available		
TIGD6	81789	40	Dosage sensitivity unlikely	0	No evidence available		
TIMM8A	1678	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010578	
TJP2	9414	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014381	
TLX3	30012	0	No evidence available	0	No evidence available		
TMC6	11322	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009176	
TMC8	147138	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009176	
TMCO1	54499	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0008952	
TMEM127	55654	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008233	
TMEM135	65084	0	No evidence available	0	No evidence available		
TMEM231	79583	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0015369	
TMEM237	65062	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013745	
TMEM43	79188	0	No evidence available	0	No evidence available		
TMEM67	91147	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0015369	
TMLHE	55217	1	Little evidence for dosage pathogenicity	0	No evidence available		
TMPRSS3	64699	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010987	
TMPRSS6	164656	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008788	
TNFRSF11B	4982	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009394	
TNNI3	7137	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0007270	
TNNT1	7138	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011539	
TNNT2	7139	0	No evidence available	0	No evidence available		
TNRC6B	23112	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
TOP3B	8940	0	No evidence available	0	No evidence available		
TP53	7157	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007903	
TP73	7161	0	No evidence available	0	No evidence available		
TPK1	27010	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013761	
TPM1	7168	0	No evidence available	0	No evidence available		
TPO	7173	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010133	
TPRN	286262	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013215	
TPSD1	23430	40	Dosage sensitivity unlikely	0	No evidence available		
TRAPPC10	7109	0	No evidence available	0	No evidence available		
TRAPPC2	6399	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010737	
TRAPPC9	83696	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013173	
TRDN	10345	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014191	
TRHR	7201	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0032819	
TRIM2	23321	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014208	
TRIM32	22954	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009683	
TRIM37	4591	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009664	
TRIO	7204	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014892	
TRIOBP	11078	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012355	
TRIP12	9320	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0030914	
TRIP4	9325	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014806	
TRMT10A	93587	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0000208	
TRMU	55687	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013111	
TRPM1	4308	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013183	
TRPS1	7227	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008596	
TRRAP	8295	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
TSC1	7248	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008612	
TSC2	7249	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013199	
TSEN2	80746	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012890	
TSEN54	283989	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0020135	
TSPAN7	7102	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100284	
TSPEAR	54084	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013929	
TTC19	54902	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014063	
TTC21B	79809	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013442	
TTC37	9652	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0024541	
TTC7A	57217	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009465	
TTC8	123016	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014436	
TTLL5	23093	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014372	
TTN	7273	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0011400	
TUBA1A	7846	0	No evidence available	0	No evidence available		
TUBB3	10381	0	No evidence available	0	No evidence available		
TUBB4A	10382	0	No evidence available	0	No evidence available		
TUBGCP6	85378	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009624	
TUFM	7284	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012534	
TUSC3	7991	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0001071	
TWIST1	7291	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007042	
TWIST2	117581	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009203	
TYMP	1890	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011283	
TYROBP	7305	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0020749	
TYRP1	7306	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0008747	
UBE2A	7319	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010461	
UBE2T	29089	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014638	
UBE3A	7337	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007113	
UBE3B	89910	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009485	
UBN2	254048	1	Little evidence for dosage pathogenicity	0	No evidence available	DOID:0060041	
UBR1	197131	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009479	
UNC93A	54346	40	Dosage sensitivity unlikely	0	No evidence available		
UPB1	51733	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013164	
UPF2	26019	0	No evidence available	0	No evidence available		
UPF3B	65109	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010398	
UROS	7390	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009902	
USH1C	10083	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010171	
USH1G	124590	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011748	
USH2A	7399	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010169	
USP9X	8239	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010487	
UVSSA	57654	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013834	
VAMP7	6845	0	No evidence available	0	No evidence available		
VAMP7	6845	0	No evidence available	0	No evidence available		
VCX3A	51481	0	No evidence available	40	Dosage sensitivity unlikely		
VHL	7428	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008667	
VLDLR	7436	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0024542	
VPS13A	23230	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0008695	
VPS13B	157680	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008999	
VPS26C	10311	0	No evidence available	0	No evidence available		
VPS37A	137492	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013962	
VPS53	55275	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014370	
WAC	51322	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014741	
WDPCP	51057	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009008	
WDR26	80232	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0054636	
WDR35	57539	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013569	
WDR45	11152	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010476	
WDR62	284403	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011435	
WDR72	256764	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013181	
WFS1	7466	0	No evidence available	0	No evidence available		
WHRN	25861	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011767	
WNT7A	7476	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0019054	
WRAP53	55135	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013520	
WRN	7486	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010196	
WT1	7490	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008679	
WWOX	51741	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013687	
XDH	7498	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010209	
XIAP	331	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010385	
XIST	7503	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0026404	
XPA	7507	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010210	
XPC	7508	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010211	
XPNPEP3	63929	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013163	
XYLT1	64131	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014343	
YAP1	10413	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0007355	
YTHDC1	91746	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
YWHAE	7531	0	No evidence available	0	No evidence available		
ZBTB18	10472	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012869	
ZBTB24	9841	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013553	
ZC4H2	55906	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010758	
ZDHHC15	158866	0	No evidence available	0	No evidence available		
ZDHHC9	51114	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010427	
ZEB2	9839	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0009341	
ZFPM2	23414	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0005711	
ZFYVE26	23503	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010044	
ZIC1	7545	0	No evidence available	0	No evidence available		
ZIC2	7546	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0016296	
ZIC3	7547	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010607	
ZIC4	84107	0	No evidence available	0	No evidence available		
ZIM2	23619	0	No evidence available	0	No evidence available		
ZMYM3	9203	0	No evidence available	0	No evidence available		
ZMYND11	10771	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014486	
ZMYND15	84225	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014366	
ZNF141	7700	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014090	
ZNF264	9422	0	No evidence available	0	No evidence available		
ZNF407	55628	0	No evidence available	0	No evidence available		
ZNF41	7592	1	Little evidence for dosage pathogenicity	0	No evidence available		
ZNF462	58499	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0032836	
ZNF592	9640	0	No evidence available	0	No evidence available		
ZNF674	641339	1	Little evidence for dosage pathogenicity	0	No evidence available		
ZNF81	347344	0	No evidence available	0	No evidence available		
ZWILCH	55055	1	Little evidence for dosage pathogenicity	0	No evidence available		
